asset_utilization	assets	book_value_per_share	cap_ex_percentage	cash_financing	cash_investing	cash_on_hand	cash_operations	current_ratio	debt_equity_ratio	expenses	free_cash_flow	gross_profit_margin	interest_expense_percentage	liabilities	long_term_debt	market_cap	net_income	period	price	price_to_book_value	quarter	retained_earnings_growth	return_on_equity	revenues	rownum	sga_percentage	shareholders_equity	symbol
0.8875	52.8000	4.8652		0.0000	7.2800	27.1700	4.5700	2.7645	0.4623	7.2800	4.9000	37.0423	0.0000	16.6900	0.0000	87.9270	6.9200	1/2006	11.8500	2.4357	Q1-2006	42.2563	17.5623	14.2000	22	13.4981	36.1000	CMRO
1.0102	49.0000	4.7992		0.0000	-0.2600	24.0000	-2.5700	3.1936	0.3757	11.1700	-2.9100	33.3019		13.3800	0.0000	78.8746	-0.5700	4/2006	10.6300	2.2150	Q2-2006	54.0119	20.4718	10.6000	23	71.1048	35.6100	CMRO
1.0164	50.5100	4.8130	595.8333	-0.4800	-1.9300	23.7800	2.2200	3.0070	0.4220	12.7300	0.7900	36.3917	0.0000	14.9900	0.0000	71.5860	0.2400	7/2006	9.7000	2.0154	Q3-2006	52.1771	20.2703	12.9700	24	55.0847	35.5200	CMRO
1.0140	48.4900	4.7480		0.0000	-1.3800	23.5400	1.0700	3.2472	0.3836	12.0500	-0.3100	34.2105		13.4400	0.0000	68.6340	-0.6500	10/2006	9.3000	1.9587	Q4-2006	41.2092	16.9521	11.4000	25	74.1026	35.0400	CMRO
0.9302	51.4100	5.1463	1.6129	-0.0500	1.4700	27.2500	2.2600	4.2132	0.3533	10.0900	2.2100	46.7704	0.0000	13.4200	0.0000	56.4570	2.7600	1/2007	7.6500	1.4865	Q1-2007	8.3060	4.6867	12.8500	26	44.4260	37.9800	CMRO
1.8928	63.5400	3.0166	26.5714	1.4100	-0.9300	8.3200	2.9400	2.7061	0.5909	31.7900	2.0100	23.4499	0.0000	23.6000	4.8000	552.7700	2.2400	8/2000	41.7500	13.8400	Q3-2000	23.3607	4.2814	34.0300	0	32.5815	39.9400	CAMP
1.9795	63.9800	3.2967	54.9020	-0.0200	-1.9600	6.1700	-0.1800	3.4391	0.4395	30.3400	-2.1400	24.7318	1.1204	19.5300	4.7600	186.1925	2.2900	11/2000	13.8125	4.1898	Q4-2000	27.0483	5.4230	32.6300	1	33.7051	44.4400	CAMP
2.5180	49.8100	2.1844		0.2900	-0.3900	10.0000	4.6900	2.3633	0.6813	26.0800	4.3000	9.5166		20.1800	4.5000	80.5125	0.4000	2/2001	5.9375	2.7182	Q1-2001	32.9764	23.8015	26.4800	2	104.3651	29.6200	CAMP
2.2057	52.2600	2.1772	336.3636	-0.0400	-0.3700	12.2400	2.7300	2.1639	0.7646	22.0600	2.3600	23.9042	0.0000	22.6400	4.2500	68.4257	0.0700	5/2001	5.0313	2.3109	Q2-2001	-7.5110	16.8862	22.1300	3	62.5709	29.6100	CAMP
1.9302	54.8600	2.4051	67.1233	-0.0400	2.7300	18.0200	3.3600	2.3261	0.6772	22.5700	2.8700	24.9493	0.0000	22.1500	4.1100	76.0240	2.0800	8/2001	5.5900	2.3242	Q3-2001	-7.5305	14.7967	24.6500	4	54.6341	32.7100	CAMP
