Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
012 Smile.Communications Ltd,SMLC,Telecom. Services,4810,NDQ,$21.51,12196,25.4,$504.70,157.9,$662.60,$626.20,$36.40,$292.70,$309.20,34.81,15.58,$1.10,19.55,2.32,2.77,1.72,9.60,6.61,2.06,1.95,2.14,2.03,NA,15.00%,NA,0.30%,NA,0.95,0.69,NA,-$14.94,NA,0.00%,-33.61%,7.96%,14.64%,4.95%,22.28%,303.6,$182.10,$424.10,-$4.30,-$0.24,$14.50,$65.20,$44.46,$94.80,$59.40,31.81%,-1.47%,5.49%,12.44%,8.58%,$14.90,$29.60,$57.70,$309.20,$32.40,$0.00,36.55%,10.56%,31.29%,23.83%,46.44%,0.00%,NA,3.63%
1-800-ATTORNEY Inc,ATTY,Publishing,2700,NDQ,$0.20,892,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
1-800-FLOWERS.COM,FLWS,Internet,7370,NDQ,$2.65,147009,63.5,$142.20,92.8,$235.00,$205.40,$29.60,$714.00,$686.90,NA,NA,NA,NA,NA,1.06,0.20,6.06,3.74,1.04,1.04,0.29,0.30,NA,NA,1.00%,-22.30%,2.2,1.45,0.70,0.7328,-$10.08,31.66%,NA,-29.74%,-49.70%,17.21%,-9.31%,4.75%,197,$133.80,$286.10,$36.40,-$1.38,-$66.50,$33.90,$33.90,$54.90,$43.98,0.00%,5.10%,12.60%,4.15%,10.35%,$12.30,$21.00,$247.30,$686.90,-$70.60,$0.00,29.36%,19.15%,65.26%,39.49%,40.95%,0.00%,14.00%,39.40%
1mage Software Inc,ISOL,Computer Software/Svcs,3579,NDQ,$0.02,3526,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97,0.75,0.75,1.9164,NA,6.26%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
1st Centennial Bancorp,FCEN,Bank,6000,NDQ,$0.04,12666,4.9,$0.20,12.3,$12.50,$1.40,$11.10,NA,NA,0.03,NA,NA,NA,NA,0.00,NA,0.05,0.05,0.03,0.19,NA,NA,46.50%,NA,NA,NA,3.42,1.4,0.96,1.7991,NA,12.45%,0.00%,NA,15.11%,32.91%,NA,NA,53.5,$52.30,$689.50,$0.00,NA,$7.90,$28.10,$17.61,$28.10,NA,37.34%,NA,88.80%,NA,1.61%,$0.00,$0.00,$14.70,NA,-$18.30,$0.00,0.61%,0.00%,6150.00%,98.40%,19.04%,0.00%,NA,NA
1st Century Bancshares Inc,FCTY,Bank,6000,NDQ,$3.45,14045,9.6,$30.90,14.5,$45.40,$43.00,$2.40,NA,NA,NA,NA,NA,NA,NA,0.54,NA,6.52,6.52,0.62,0.63,NA,NA,NA,NA,NA,NA,NA,0.5,0.35,NA,NA,NA,NA,NA,-2.63%,9.55%,NA,NA,69.1,$57.00,$259.40,$0.00,NA,-$1.50,$6.60,$6.60,$6.60,NA,0.00%,NA,5.29%,NA,0.93%,$0.00,$0.00,$2.40,NA,-$6.30,$0.00,0.00%,0.00%,46.93%,31.94%,20.28%,0.00%,NA,9.05%
1st Colonial Bancorp Inc,FCOB,Bank,6000,NDQ,$4.25,3129,2.9,$13.00,9.5,$22.50,$16.80,$5.70,NA,NA,21.67,21.67,NA,NA,NA,0.60,NA,3.65,3.65,0.66,0.72,NA,NA,NA,NA,NA,NA,0.06,0.5,0.30,0.3328,NA,24.04%,0.00%,NA,2.75%,17.97%,NA,NA,25.6,$21.80,$232.80,$0.00,NA,$0.60,$4.60,$4.60,$4.60,NA,0.00%,NA,25.33%,NA,2.45%,$0.00,$0.00,$5.20,NA,$0.60,$0.00,0.00%,0.00%,73.08%,42.22%,30.35%,0.00%,NA,11.08%
1st Constitution Bancorp,FCCY,Bank,6000,NDQ,$6.25,2580,4.2,$25.90,49.1,$75.00,$67.50,$7.50,NA,NA,4.80,12.33,NA,NA,NA,0.63,NA,4.19,4.19,0.82,0.83,NA,NA,14.00%,NA,NA,NA,NA,0.35,0.45,NA,NA,NA,0.00%,NA,13.17%,13.09%,NA,NA,82.6,$41.00,$429.20,$0.00,NA,$5.40,$16.10,$10.81,$16.10,NA,32.84%,NA,10.00%,NA,1.75%,$0.00,$0.00,$9.60,NA,$2.10,$0.00,0.16%,0.00%,189.58%,65.47%,54.50%,0.00%,NA,3.32%
1st Pacific Bancorp CA,FPBN,Bank,6000,NDQ,$0.69,10418,5,$2.90,60.2,$63.10,$56.60,$6.50,NA,NA,NA,NA,NA,NA,NA,0.13,NA,5.34,5.34,0.74,0.76,NA,NA,NA,NA,NA,NA,1.29,0.95,0.80,0.6788,NA,22.39%,NA,NA,-97.35%,13.89%,NA,NA,76.3,$22.60,$420.90,$0.00,NA,-$22.00,$10.60,$10.60,$10.60,NA,0.00%,NA,10.30%,NA,1.54%,$0.00,$0.00,$8.70,NA,-$16.80,$0.00,0.31%,0.00%,2075.86%,95.40%,72.71%,0.00%,NA,5.82%
1st Source Corp.,SRCE,Bank (Midwest),6001,NDQ,$16.09,33062,24.1,$396.10,119.5,$515.60,$395.80,$119.80,NA,NA,15.29,16.37,NA,NA,NA,0.87,NA,2.75,2.75,0.87,0.90,NA,NA,7.00%,NA,NA,NA,0.33,0.95,0.27,0.4501,NA,33.77%,0.00%,NA,5.71%,23.58%,NA,NA,453.4,$453.70,"$4,464.20",$0.00,NA,$25.90,$144.00,$106.90,$144.00,NA,25.76%,NA,23.24%,NA,2.68%,$0.00,$0.00,$86.90,NA,$24.20,$0.00,2.05%,0.00%,30.17%,23.18%,20.85%,0.00%,NA,69.23%
21st Century Hldg Co.,TCHC,Insurance (Prop/Cas.),6330,NDQ,$4.02,25892,7.9,$32.60,0,$32.60,$14.70,$17.90,NA,NA,2.35,NA,NA,NA,NA,0.49,NA,NA,NA,0.30,0.49,NA,NA,NA,NA,NA,NA,0.65,1.05,0.60,0.5278,NA,31.83%,0.00%,NA,21.00%,NA,NA,NA,48.3,$66.20,$212.10,$0.00,NA,$13.90,NA,NA,NA,NA,34.74%,NA,54.91%,NA,8.44%,$0.40,$0.00,$85.10,NA,-$5.70,$0.00,0.00%,0.61%,0.00%,0.00%,0.00%,0.00%,NA,29.11%
247MGI Inc,TOFS,Advertising,7310,NDQ,$0.00,2347367,0.3,$0.40,0.6,$1.00,$1.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.3,-$0.90,NA,-$0.30,NA,-$0.40,NA,NA,NA,NA,0.00%,NA,0.00%,NA,NA,$0.00,$0.00,$0.20,NA,-$0.50,$0.00,NA,NA,150.00%,60.00%,NA,0.00%,NA,NA
360 Global Wine Company,TSIXQ,Beverage,2080,NDQ,$0.04,5359,8.5,$0.40,28.6,$29.00,$28.90,$0.10,$17.30,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,-357.80%,-154.98%,-8.3,-$36.80,$41.50,-$32.40,NA,-$61.90,-$26.81,-$26.81,-$26.41,NA,0.00%,-187.28%,0.34%,0.58%,0.24%,$0.10,$0.40,$34.70,NA,NA,$0.00,0.72%,30.36%,7150.00%,98.62%,NA,0.00%,NA,NA
3CI Complete Compliance Corp,TCCC,Environmental,4953,NDQ,$0.00,7181,0,$0.00,0,$0.00,$0.00,$0.00,NA,$12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,$12.00,$0.10,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
3Com Corp.,COMS,Computers/Peripherals,3573,NDQ,$7.50,6900994,405.7,"$2,958.30",301,"$3,259.30","$2,690.50",$568.80,"$1,294.90","$1,232.40",42.63,24.49,NA,NA,NA,2.97,2.28,36.71,25.45,3.70,2.51,2.08,2.18,NA,NA,7.50%,0.51%,1.19,0.95,0.58,0.5919,-$4.10,25.68%,0.00%,-5.79%,6.97%,9.75%,5.36%,5.66%,727.5,$995.30,"$1,775.10",-$215.40,$10.40,$69.40,$73.30,$70.92,$105.70,$75.03,3.24%,-16.63%,17.45%,43.93%,32.04%,$17.90,$32.40,$625.20,"$1,232.40",$120.80,$0.00,50.01%,3.06%,10.17%,9.24%,23.22%,0.00%,2.50%,82.07%
3D Systems,TDSC,Electronics,3670,NDQ,$11.30,38113,22.4,$264.00,11.8,$275.80,$253.60,$22.20,$138.90,$111.30,NA,NA,NA,NA,NA,2.58,1.90,9128.87,49.46,2.76,2.42,1.83,2.28,NA,10.00%,NA,-11.99%,1.35,1.45,0.52,0.5803,-$2.58,39.98%,NA,-9282.28%,-6.07%,0.03%,-4.46%,0.02%,91.8,$102.20,$153.00,$16.50,-$3.28,-$6.20,$0.03,$0.03,$5.13,$2.61,0.00%,11.88%,8.05%,15.98%,14.51%,$5.80,$5.10,$61.10,$111.30,-$0.70,$0.00,33.79%,15.75%,4.47%,4.28%,10.35%,0.00%,NA,59.26%
3M Company,MMM,Chemical (Diversified),2813,NYS,$82.67,4584670,693.5,"$58,187.10",6718,"$64,905.10","$62,683.10","$2,222.00","$25,269.00","$22,510.00",16.82,20.83,$4.87,16.98,3.36,5.89,2.30,9.84,8.33,4.36,3.91,2.48,2.78,16.50%,5.00%,3.00%,5.62%,0.78,0.8,0.35,0.2387,-$19.27,53.62%,86.73%,-0.45%,35.02%,29.50%,13.69%,25.21%,14375,"$9,879.00","$25,547.00","$3,089.00",-$337.27,"$3,460.00","$6,371.00","$4,240.67","$7,524.00","$4,259.94",33.44%,12.22%,3.42%,8.79%,8.70%,"$1,471.00","$1,153.00","$6,649.00","$22,510.00","$2,794.00","$3,000.84",0.14%,26.95%,11.55%,10.35%,40.48%,5.16%,NA,68.21%
3PAR Inc,PAR,Computer Software/Svcs,3579,AMS,$11.85,422750,61,$641.50,0,$641.50,$537.70,$103.80,$184.70,$180.80,NA,NA,NA,NA,NA,5.15,3.47,134.43,53.77,25.98,5.15,2.91,2.97,NA,40.00%,NA,55.26%,NA,1.2,0.37,NA,$8.41,NA,NA,210.25%,-0.80%,19.32%,-0.54%,2.17%,20.7,$124.50,$192.80,$9.00,-$0.19,-$1.00,$4.00,$4.00,$10.00,-$4.41,0.00%,4.87%,16.18%,56.20%,53.84%,$14.60,$6.00,$122.00,$180.80,-$3.00,$0.00,0.00%,11.46%,0.00%,0.00%,0.00%,0.00%,NA,41.47%
3SBio Inc,SSRX,Drug,2834,NDQ,$13.69,71411,21.5,$303.30,0,$303.30,$195.80,$107.50,$35.70,$41.80,37.91,24.86,$0.57,24.02,1.65,2.25,8.50,24.78,22.25,7.12,2.25,5.48,4.68,NA,23.00%,NA,36.42%,NA,1.05,0.55,NA,$6.05,NA,0.00%,104.70%,5.93%,21.03%,22.41%,22.13%,27.5,$135.00,$139.80,$9.10,$1.55,$8.00,$7.90,$5.78,$8.80,-$0.27,26.80%,25.49%,35.44%,301.12%,76.90%,$5.40,$0.90,$22.20,$41.80,$12.20,$0.00,1.50%,8.23%,0.00%,0.00%,0.00%,0.00%,NA,27.15%
4Kids Entmt Inc,KDE,Entertainment,7950,NYS,$1.59,56959,13.2,$18.60,0,$18.60,$5.10,$13.50,$63.70,$36.20,NA,NA,NA,NA,NA,0.25,0.29,NA,NA,0.08,0.25,0.08,0.14,NA,NA,NA,15.40%,1.26,0.9,0.42,0.5991,-$1.63,24.04%,NA,NA,-42.27%,-49.10%,-49.76%,-47.40%,61.5,$75.00,$100.60,$4.00,-$1.73,-$31.70,-$30.19,-$30.19,-$28.69,-$28.57,0.00%,6.28%,72.58%,21.19%,13.42%,$1.60,$1.50,$54.30,$36.20,-$39.80,$0.00,0.00%,4.27%,0.00%,0.00%,0.00%,0.00%,NA,45.42%
4net Software Inc,FNSI,Internet,7370,NDQ,$0.07,4237,9.3,$0.60,0,$0.60,$0.60,$0.00,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,0.35,0.50,0.683,NA,8.20%,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,0.00%,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,0.00%,0.00%,NA,0.00%,NA,0.86%
7 Days Group Holdings Ltd,SVN,Hotel/Gaming,7000,NYS,$12.48,0,0,$0.00,0,$0.00,$0.00,$0.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,0.00%,NA,NA,NA,NA,$0.00,$0.00,$0.00,NA,NA,$0.00,NA,NA,NA,NA,NA,NA,NA,NA
8x8 Inc,EGHT,Semiconductor,3674,NDQ,$1.50,241876,62.7,$89.80,0,$89.80,$73.40,$16.40,$64.70,$63.60,NA,NA,NA,NA,NA,9.98,1.39,NA,NA,NA,NA,1.13,1.15,NA,NA,NA,3.90%,1.21,1,0.55,0.6917,-$0.35,23.13%,NA,NA,-27.78%,NA,-3.86%,-2.78%,-7.4,$9.00,$21.90,-$9.00,$0.15,-$2.50,-$1.80,-$1.80,-$0.50,-$1.45,0.00%,-13.91%,18.26%,25.35%,74.89%,$0.80,$1.30,$44.90,$63.60,NA,$0.00,0.00%,6.85%,0.00%,0.00%,0.00%,0.00%,NA,18.49%
99(Cents) Only Stores,NDN,Retail Store,5300,NYS,$13.07,821308,68.4,$916.20,0.6,$916.80,$894.90,$21.90,"$1,302.90","$1,337.00",46.27,23.74,$0.62,21.08,1.19,1.75,0.70,14.27,9.23,1.78,1.75,0.69,0.67,-27.50%,39.00%,8.00%,11.26%,0.34,0.75,0.39,0.5154,$4.37,23.28%,0.00%,10.37%,3.78%,8.37%,1.52%,4.81%,502.6,$523.90,$662.90,$170.60,$4.47,$19.80,$62.70,$42.08,$97.00,$37.72,32.88%,13.09%,2.39%,1.68%,3.30%,$34.20,$34.30,$449.10,"$1,337.00",$38.60,$0.00,0.00%,40.93%,0.07%,0.07%,0.11%,0.00%,34.29%,71.94%
A C Moore Arts & Crafts,ACMR,Retail (Special Lines),5600,NDQ,$2.94,85010,20.5,$69.00,29.1,$98.10,$23.70,$74.40,$534.70,$484.20,NA,NA,NA,NA,NA,0.40,0.13,NA,3.11,0.18,0.48,0.04,0.05,NA,16.67%,NA,-5.26%,2.15,1.3,0.70,0.8173,-$5.16,25.45%,NA,NA,-15.26%,-6.26%,-4.97%,-1.51%,129,$174.30,$293.70,$56.80,-$5.36,-$26.60,-$8.07,-$8.07,$7.63,-$2.91,0.00%,10.62%,75.84%,13.91%,25.33%,$15.90,$15.70,$241.00,$484.20,-$38.30,$0.00,0.00%,31.46%,42.17%,29.66%,14.31%,0.00%,NA,82.42%
A-Power Energy Generation Sys,APWR,Power,4900,NDQ,$18.29,1155509,33.7,$674.80,0,$674.80,$630.30,$44.50,$264.90,$266.70,23.68,39.01,$0.85,21.52,1.01,4.35,2.55,22.04,21.73,5.69,4.35,2.38,2.36,NA,23.33%,NA,-33.03%,NA,NA,0.75,NA,$23.75,NA,0.00%,83.26%,18.35%,25.75%,10.76%,10.80%,110.8,$155.30,$205.50,$52.20,$0.35,$28.50,$28.60,$28.53,$29.00,$4.78,0.25%,19.71%,6.59%,16.80%,21.65%,$23.80,$0.40,$8.70,$266.70,$17.30,$0.00,6.13%,15.72%,0.00%,0.00%,0.00%,0.00%,NA,9.33%
A.D.A.M. Inc,ADAM,Internet,7370,NDQ,$4.20,18787,9.9,$41.90,10.1,$52.00,$50.60,$1.40,$28.90,$28.20,NA,NA,NA,NA,NA,1.32,1.45,16.87,12.05,1.25,1.24,1.75,1.79,NA,NA,NA,1.50%,1.15,0.85,0.48,0.4453,$0.31,30.54%,NA,10.46%,#VALUE!,7.41%,NA,10.38%,40.5,$31.80,$53.10,-$4.70,$0.11,NA,$3.00,$3.00,$4.20,$2.69,0.00%,-16.26%,2.69%,4.84%,2.64%,$1.40,$1.20,$21.20,$28.20,-$14.20,$0.00,65.91%,3.01%,24.11%,19.42%,24.11%,0.00%,NA,32.55%
A.H. Belo,AHC,Newspaper,2710,NYS,$5.76,148049,20.5,$117.10,10,$127.10,$117.20,$9.90,$637.30,$542.90,NA,NA,-$0.68,NA,NA,0.29,0.18,NA,5.03,0.29,0.30,0.18,0.22,NA,NA,NA,-13.83%,NA,NA,0.82,NA,-$23.62,NA,NA,NA,-7.63%,-4.16%,-4.90%,-2.67%,408.8,$408.70,$557.70,$9.60,-$1.42,-$31.20,-$17.02,-$17.02,$23.28,$6.61,0.00%,1.51%,7.79%,1.55%,1.78%,$18.10,$40.30,$0.00,$542.90,-$44.50,$0.00,25.00%,47.28%,8.54%,7.87%,2.39%,0.00%,1.70%,47.85%
A123 Systems,AONE,Electronics,3670,NDQ,$22.44,0,7.7,"$1,980.80",19.2,"$2,000.00","$1,929.50",$70.50,$68.50,NA,NA,NA,NA,NA,NA,NA,28.92,NA,NA,NA,NA,28.17,NA,NA,40.00%,NA,42.48%,NA,NA,0.33,NA,NA,NA,NA,NA,NA,NA,-117.52%,-104.25%,-177.4,-$126.10,$209.00,$11.80,NA,-$80.50,-$71.41,-$71.41,-$63.21,NA,0.00%,17.23%,3.53%,102.92%,33.73%,$41.40,$8.20,$67.30,NA,NA,$0.00,5.74%,25.22%,0.97%,0.96%,NA,0.00%,NA,6.78%
a21 Inc,ATWOQ,Industrial Services,7300,NDQ,$0.00,227531,87.1,$0.90,25.5,$26.40,$24.30,$2.10,$23.30,$23.50,NA,NA,NA,NA,NA,NA,0.04,NA,10.01,1.10,1.09,1.04,1.03,NA,NA,NA,13.91%,NA,0.45,NA,NA,-$2.01,NA,NA,NA,NA,-0.33%,-20.17%,-0.31%,22.1,-$1.30,$30.10,-$0.60,-$0.01,-$4.70,-$0.07,-$0.07,$2.43,$1.93,0.00%,-2.58%,7.95%,9.01%,6.98%,$0.50,$2.50,$13.90,$23.50,-$6.50,$0.00,45.51%,26.91%,2833.33%,96.59%,NA,0.00%,NA,NA
AAON Inc.,AAON,Electrical Equipment,3600,NDQ,$19.49,96652,17.2,$337.70,3,$340.70,$340.40,$0.30,$279.70,$251.30,11.81,12.28,$1.59,12.26,NA,3.50,1.21,6.45,5.47,3.43,3.42,1.22,1.35,12.00%,NA,NA,11.79%,0.77,1,0.21,0.3497,-$4.21,45.75%,12.08%,-12.28%,29.64%,34.53%,10.23%,18.88%,99.2,$96.50,$140.70,$43.40,-$4.41,$28.60,$52.80,$34.25,$62.20,$38.46,35.13%,15.52%,0.09%,0.11%,0.21%,$9.60,$9.40,$23.80,$251.30,$27.50,$3.46,0.00%,43.00%,0.89%,0.88%,3.02%,1.02%,NA,63.02%
AAR Corp.,AIR,Aerospace/Defense,3720,NYS,$22.98,398181,38.9,$925.20,429.5,"$1,354.70","$1,242.20",$112.50,"$1,424.00","$1,380.70",11.48,14.46,NA,NA,1.64,1.41,0.65,9.21,7.08,1.28,1.25,0.87,0.90,NA,7.00%,7.00%,2.52%,0.89,1.35,0.41,0.4699,-$29.71,45.97%,0.00%,-32.77%,12.27%,9.31%,5.66%,9.47%,973.9,$656.90,"$1,377.50",$546.30,-$16.61,$80.60,$134.90,$90.68,$175.50,$120.39,32.78%,38.36%,8.30%,7.90%,8.17%,$27.50,$40.60,$147.20,"$1,380.70",$64.00,$0.00,10.90%,9.07%,46.42%,31.70%,39.53%,0.00%,5.60%,NA
Aaron's Inc.,AAN,Retail Store,5300,NYS,$27.73,0,53.7,"$1,570.10",114.9,"$1,685.00","$1,677.60",$7.40,"$1,592.60","$1,711.50",18.30,14.46,$2.22,12.49,1.83,2.06,0.99,2.71,1.54,1.93,1.92,1.05,0.98,23.50%,10.00%,5.50%,6.45%,0.52,0.85,0.26,0.3469,-$354.19,39.20%,6.11%,-93.15%,11.27%,43.76%,5.39%,38.85%,869,$761.50,"$1,233.30",$566.70,$42.31,$85.80,$618.80,$380.24,"$1,090.20",$734.43,38.55%,35.58%,0.44%,0.46%,0.60%,$74.90,$471.40,$705.60,"$1,711.50",$108.60,$5.24,15.69%,18.20%,7.32%,6.82%,13.11%,0.33%,6.20%,NA
Aastra Technologies Ltd.,AAH.TO,Telecom. Equipment,4811,TSE,$34.65,63715,14.8,$515.30,63.1,$578.40,$480.20,$98.20,$832.10,$876.90,44.81,16.79,$3.17,10.93,NA,1.75,0.62,7.71,5.16,1.86,1.62,0.58,0.55,6.50%,NA,NA,48.78%,0.57,0.75,0.59,0.4293,-$6.17,27.95%,0.00%,-13.66%,3.91%,17.46%,1.38%,7.49%,258.7,$293.80,$680.70,$108.30,$5.83,$11.50,$62.30,$45.16,$93.10,$51.33,27.51%,13.02%,16.98%,11.80%,14.43%,$18.80,$30.80,$316.00,$876.90,$30.70,$0.00,17.89%,6.99%,12.25%,10.91%,17.68%,0.00%,NA,NA
Aastrom Biosciences,ASTM,Drug,2834,NDQ,$0.31,1689527,160.1,$54.90,0.8,$55.70,$38.70,$17.00,$0.20,$0.20,NA,NA,NA,NA,NA,3.17,274.50,NA,NA,35.18,3.08,193.50,193.50,NA,NA,NA,-71.58%,-0.53,1.1,0.53,0.7224,-$0.70,24.36%,NA,NA,-91.91%,-1544.95%,-7950.00%,-8497.25%,1.1,$17.30,$19.30,-$0.40,$0.00,-$15.90,-$16.99,-$16.99,-$16.29,-$16.29,0.00%,-200.00%,30.52%,8500.00%,88.08%,$0.00,$0.70,$4.90,$0.20,-$15.90,$0.00,0.00%,7.77%,1.46%,1.44%,4.42%,0.00%,NA,4.25%
Abatix Corp,ABIX,Machinery,3500,NDQ,$4.20,2131,1.7,$7.60,4.3,$11.90,$11.70,$0.20,$78.60,$58.60,5.07,15.20,NA,NA,NA,0.51,0.10,3.44,2.93,0.62,0.62,0.15,0.20,7.50%,NA,NA,14.05%,0.76,0.65,0.33,0.564,-$4.78,18.44%,0.00%,-232.51%,10.14%,10.87%,1.91%,4.33%,18.9,$14.80,$23.70,$17.60,-$4.48,$1.50,$3.40,$2.06,$4.00,$6.83,39.55%,22.39%,1.68%,0.25%,0.84%,$0.30,$0.60,$19.70,$58.60,$0.50,$0.00,0.00%,4.22%,56.58%,36.13%,22.51%,0.00%,NA,NA
Abaxis Inc.,ABAX,Medical Supplies,8060,NDQ,$25.55,235645,21.9,$529.30,0,$529.30,$459.30,$70.00,$105.60,$113.20,44.11,41.03,$0.69,37.03,2.85,4.17,5.01,20.60,17.14,8.07,4.17,4.35,4.06,5.50%,15.50%,13.50%,3.91%,1.1,1.25,0.38,0.4735,$0.48,42.24%,0.00%,3.43%,9.46%,24.69%,11.36%,21.12%,56.9,$126.90,$140.70,$31.70,$2.28,$12.00,$22.30,$14.05,$26.80,$13.57,36.99%,30.02%,13.23%,66.29%,49.75%,$2.70,$4.50,$40.80,$113.20,$12.90,$0.00,3.70%,10.52%,0.00%,0.00%,0.00%,0.00%,6.70%,89.51%
Abazias Inc,ABZA,Toiletries/Cosmetics,2844,NDQ,$0.20,2603,3.2,$0.60,0.5,$1.10,$1.00,$0.10,$6.40,$6.60,NA,NA,NA,NA,NA,NA,0.09,NA,NA,10.00,5.50,0.16,0.15,NA,NA,NA,-13.61%,NA,NA,0.87,NA,$0.00,NA,NA,NA,NA,-435.20%,-7.81%,-6.80%,0.1,-$0.30,$0.70,$0.00,$0.00,-$0.50,-$0.44,-$0.44,-$0.44,-$0.44,0.00%,0.00%,9.09%,1.56%,14.29%,$0.00,$0.00,$1.40,$6.60,-$1.80,$0.00,0.00%,0.00%,83.33%,45.45%,NA,0.00%,NA,NA
ABB Ltd,ABB,Diversified Co.,9913,NYS,$19.10,4113357,2282.7,"$43,256.90",2363,"$45,619.90","$37,813.90","$7,806.00","$34,912.00","$34,912.00",13.78,10.52,NA,NA,NA,3.88,1.24,6.65,6.05,6.62,3.37,1.08,1.08,NA,-2.30%,NA,20.40%,1.57,1.45,0.34,0.3906,$604.00,59.40%,0.00%,14.12%,28.13%,74.84%,8.99%,16.28%,5715,"$11,158.00","$33,181.00",$891.00,$0.00,"$3,139.00","$5,685.00","$4,276.94","$6,252.00","$3,672.94",24.77%,2.55%,17.11%,22.36%,23.53%,"$1,171.00",$567.00,"$5,822.00","$34,912.00","$4,111.00",$0.00,8.96%,10.74%,5.46%,5.18%,17.48%,0.00%,NA,9.80%
Abbott Labs.,ABT,Drug,2834,NYS,$53.99,8958757,1522.4,"$83,663.10",11445.3,"$95,108.40","$90,996.40","$4,112.00","$29,527.60","$29,924.30",17.67,15.51,$4.05,13.33,1.77,4.79,2.83,12.08,9.71,3.67,3.29,3.08,3.04,6.50%,10.00%,7.50%,16.00%,0.27,0.6,0.16,0.1892,-$496.41,50.74%,43.52%,-8.15%,27.08%,24.54%,16.03%,25.51%,24812.9,"$17,479.60","$42,419.20","$4,070.60",$54.69,"$4,734.20","$7,532.70","$6,089.43","$9,371.50","$6,585.85",19.16%,13.79%,4.32%,13.93%,9.69%,"$1,287.70","$1,838.80","$11,221.70","$29,924.30","$5,393.60","$2,060.32",35.69%,17.02%,13.68%,12.03%,39.57%,2.46%,NA,67.48%
