Company Name,Ticker Symbol,Industry Name,SIC Code,Exchange Code,Stock Price,Trading Volume,# of shares outstanding,Market Cap,Total Debt,Firm Value,Enterprise Value,Cash,Revenues: Last yr,Trailing 12-mth Revenues,Current PE,Trailing PE,Forward EPS,Forward PE,PEG Ratio,PBV Ratio,PS Ratio,EV/EBIT,EV/EBITDA,EV/ Invested Capital,Value/BV of Capital,EV/Sales,EV/ Trailing Sales,Growth in EPS: Last 5 years,Expected Growth in EPS: next 5 years,Expected Growth in Revenues: next 5 years,Growth in Revenue- last year, 3-yr Regression Beta,Value Line Beta,HiLo risk,3-yr Standard Deviation (Stock Price),Reinvestment,Correlation,Payout Ratio,Reinvestment Rate,ROE,ROC,Net Margin,Pre-tax Operating Margin,Invested Capital,Book Value of Equity,BV of Assets,Non-cash WC,Chg in non-cash WC,Net Income,EBIT,EBIT(1-t),EBITDA,FCFF,Eff Tax Rate,Non-cash WC as % of Revenues,Cash as % of Firm Value,Cash as % of Revenues,Cash as % of Total Assets,Capital Expenditures,Depreciation,SG&A Expenses,Trailing Revenues,Trailing Net Income,Dividends,Intangible Assets/Total Assets,Fixed Assets/Total Assets,Market D/E,Market Debt to Capital,Book Debt to Capital,Dividend Yield,Insider Holdings,Institutional Holdings
Cooper Tire & Rubber,CTB,Auto Parts,3716,NYS,$20.05,947825,58.9,"$1,230.50",658.2,"$1,888.70","$1,641.00",$247.70,"$2,881.80","$2,641.70",NA,53.50,$2.05,9.78,NA,4.18,0.43,48.41,9.29,2.33,1.98,0.57,0.62,NA,NA,4.00%,-0.48%,2.58,1.55,0.75,0.8842,-$49.12,28.05%,NA,-144.89%,-46.14%,4.81%,-4.71%,1.18%,704.6,$294.10,"$2,042.90",$421.50,-$35.12,-$135.70,$33.90,$33.90,$176.70,$83.02,0.00%,14.63%,13.11%,8.60%,12.12%,$128.80,$142.80,$185.10,"$2,641.70",$23.00,$54.10,0.97%,44.12%,53.49%,34.85%,69.12%,4.40%,1.90%,80.00%
Cooperative Bankshares,COOPQ,Thrift,6120,NDQ,$0.00,46542,6.6,$0.10,138.5,$138.60,$128.70,$9.90,NA,NA,0.01,NA,NA,NA,NA,0.00,NA,4.60,4.60,0.66,0.68,NA,NA,17.50%,NA,NA,NA,1.82,1.2,NA,1.9573,NA,9.81%,0.00%,NA,12.12%,9.21%,NA,NA,193.8,$65.20,$926.80,$0.00,NA,$7.90,$28.00,$17.84,$28.00,NA,36.29%,NA,7.14%,NA,1.07%,$0.00,$0.00,$29.00,NA,-$44.30,$0.00,0.63%,0.00%,138500.00%,99.93%,67.99%,0.00%,NA,1.26%
Copa Holdings SA,CPA,Air Transport,4510,NYS,$54.47,385531,43.2,"$2,417.20",916,"$3,333.20","$2,936.40",$396.80,"$1,288.80","$1,256.20",20.36,12.83,$4.95,11.00,2.04,3.82,1.88,9.02,7.97,2.55,2.15,2.28,2.34,NA,10.00%,NA,24.72%,1.16,1.05,0.47,0.4716,$179.59,35.62%,67.30%,63.32%,18.77%,24.63%,9.21%,25.25%,1151.6,$632.40,"$1,954.20",-$260.70,$6.59,$118.70,$325.40,$283.64,$368.30,$104.05,12.83%,-20.23%,11.90%,30.79%,20.30%,$215.90,$42.90,$67.20,"$1,256.20",$188.40,$79.88,2.74%,64.11%,37.90%,27.48%,59.16%,3.30%,NA,92.52%
Copano Energy LLC,CPNO,Oilfield Svcs/Equip.,3533,NDQ,$23.91,314360,54,"$1,298.40",821.1,"$2,119.50","$2,055.80",$63.70,"$1,629.10",$881.20,26.88,75.05,NA,NA,7.32,1.25,0.80,13.31,10.04,1.15,1.14,1.26,2.33,NA,3.67%,NA,25.24%,0.94,1.2,0.37,0.4764,$84.80,40.30%,726.19%,54.92%,4.65%,8.60%,2.96%,9.48%,1795.4,"$1,038.00","$2,013.70",$37.90,-$17.40,$48.30,$154.40,$154.40,$204.70,$69.60,0.00%,2.33%,3.01%,3.91%,3.16%,$152.50,$50.30,$45.60,$881.20,$17.30,$350.75,9.91%,40.90%,63.24%,38.74%,44.17%,27.01%,NA,45.63%
Copart Inc.,CPRT,Retail Automotive,5531,NDQ,$36.62,600932,83.9,"$3,057.90",0,"$3,057.90","$2,895.20",$162.70,$743.10,$743.10,21.92,21.81,NA,NA,2.44,3.32,4.12,10.86,9.40,3.82,3.32,3.90,3.90,18.00%,9.00%,7.50%,-6.07%,0.68,0.9,0.24,0.2914,$37.50,49.42%,0.00%,22.95%,15.14%,21.54%,18.77%,35.89%,758.8,$921.50,"$1,058.00",$49.60,$0.00,$139.50,$266.70,$163.42,$308.10,$125.92,38.72%,6.67%,5.32%,21.89%,15.38%,$78.90,$41.40,$86.90,$743.10,$140.20,$0.00,17.16%,50.18%,0.00%,0.00%,0.00%,0.00%,16.80%,79.12%
Copernic Inc,CNIC,Internet,7370,NDQ,$2.70,28524,2.1,$5.80,0.1,$5.90,$0.80,$5.10,$7.00,$3.20,NA,NA,NA,NA,NA,0.62,0.83,NA,NA,0.19,0.63,0.11,0.25,NA,NA,NA,-13.60%,1.79,0.85,0.71,1.251,-$1.25,10.87%,NA,NA,-69.89%,-30.30%,-92.86%,-18.61%,4.3,$9.30,$10.80,$0.10,-$0.05,-$6.50,-$1.30,-$1.30,-$0.10,-$0.05,0.00%,1.43%,86.44%,72.86%,47.22%,$0.00,$1.20,$5.80,$3.20,-$5.80,$0.00,38.89%,1.85%,1.72%,1.69%,1.06%,0.00%,NA,1.67%
CopyTele Inc.,COPY,Computers/Peripherals,3573,NDQ,$0.64,120528,132.5,$82.30,5,$87.30,$85.40,$1.90,$2.10,$2.10,NA,NA,NA,NA,NA,48.41,39.19,NA,NA,17.79,13.03,40.67,40.67,NA,NA,NA,211.40%,1.64,0.6,0.71,0.9281,$0.00,10.34%,NA,NA,-341.18%,-126.80%,-276.19%,-289.82%,4.8,$1.70,$7.50,-$0.40,$0.00,-$5.80,-$6.09,-$6.09,-$6.09,-$6.09,0.00%,-19.05%,2.18%,90.48%,25.33%,$0.00,$0.00,$8.00,$2.10,-$5.80,$0.00,0.00%,0.00%,6.08%,5.73%,74.63%,0.00%,NA,0.14%
Corby Distilleries LTD,CDLB.TO,Beverage,2080,TSE,$15.20,2594,28.5,$427.00,0,$427.00,$364.30,$62.70,$169.30,$141.50,14.09,NA,NA,NA,NA,1.81,2.52,7.36,6.55,2.10,1.81,2.15,2.57,NA,NA,NA,3.65%,0.53,0.65,0.12,0.1948,-$12.50,53.39%,0.00%,-36.95%,12.83%,19.50%,17.90%,29.24%,173.5,$236.20,$270.20,$65.80,-$10.80,$30.30,$49.50,$33.84,$55.60,$46.34,31.64%,38.87%,14.68%,37.03%,23.21%,$4.40,$6.10,$44.80,$141.50,NA,$0.00,35.27%,5.40%,0.00%,0.00%,0.00%,0.00%,NA,NA
Corby Distilleries Ltd.,CDL/A.TO,Beverage,2080,TSE,$15.50,9749,28.5,$432.70,0,$432.70,$370.00,$62.70,$169.30,$164.30,14.28,15.02,NA,NA,NA,1.83,2.56,7.47,6.65,2.13,1.83,2.19,2.25,6.00%,NA,NA,3.65%,0.23,0.6,0.13,0.2101,-$3.64,45.69%,0.00%,-10.77%,12.83%,19.50%,17.90%,29.24%,173.5,$236.20,$270.20,$65.80,-$1.94,$30.30,$49.50,$33.84,$55.60,$37.48,31.64%,38.87%,14.49%,37.03%,23.21%,$4.40,$6.10,$44.80,$164.30,$28.80,$0.00,35.27%,5.40%,0.00%,0.00%,0.00%,0.00%,NA,NA
Corcept Therapeutics Inc,CORT,Drug,2834,NDQ,$2.78,33062,49.8,$164.90,0,$164.90,$146.60,$18.30,$0.20,$0.10,NA,NA,NA,NA,NA,9.76,824.50,NA,NA,NA,NA,733.00,1466.00,NA,30.00%,NA,-65.00%,0.95,0.65,0.62,1.0407,$0.75,9.99%,NA,NA,-118.93%,NA,-10050.00%,-9414.83%,-1.4,$16.90,$19.80,-$1.50,$0.75,-$20.10,-$18.83,-$18.83,-$18.83,-$19.58,0.00%,-750.00%,11.10%,9150.00%,92.42%,$0.00,$0.00,$5.70,$0.10,-$21.20,$0.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,NA,4.48%
